title,artist,album,release_date,url,image_url,year,genre,mood
"Sindurapuva (From ""Janata Bar"")",Raghavendra Saraswathula,Telugu Chartbuster Hits,2025-06-27,https://open.spotify.com/track/1AlsnNJEHOgDF9MmWmzxBH,https://i.scdn.co/image/ab67616d0000b2738029f748b2f874b19ea47722,2025,Romantic,Happy
Dhevuni Ganugoni - Radio Edit,Vakulabaranam Keshavanath,Telugu Keerthanalu (Vol-04) [Radio Edit],2025-04-30,https://open.spotify.com/track/2TGr7ryTwoZwgoW5zF0ftu,https://i.scdn.co/image/ab67616d0000b27393ef9e8c36d3c74d52b28639,2025,Romantic,Happy
"Baby Chiki Chiki (From ""Kadhalikka Neramillai"")",Sireesha Bhagavatula,Telugu Chartbuster Hits,2025-06-27,https://open.spotify.com/track/2B1BS3zx5JqAFDPPw0pR79,https://i.scdn.co/image/ab67616d0000b2738029f748b2f874b19ea47722,2025,Romantic,Happy
"Babu Moshaya (From ""Zebra"")",Santhosh Venky,Telugu Chartbuster Hits,2025-06-27,https://open.spotify.com/track/6Y1QCyoaIAsDOVU231BV79,https://i.scdn.co/image/ab67616d0000b2738029f748b2f874b19ea47722,2025,Romantic,Happy
"Andhamaa Andhamaa (From ""8 Vasantalu"")",Hesham Abdul Wahab,Telugu Chartbuster Hits,2025-06-27,https://open.spotify.com/track/443aeF7I4sDBkmqlVsvGes,https://i.scdn.co/image/ab67616d0000b2738029f748b2f874b19ea47722,2025,Romantic,Happy
Karuna Sindhu,Vakulabaranam Keshavanath,Telugu Keerthanalu (Vol-01),2025-04-27,https://open.spotify.com/track/3oLyxc7cNr8vLPIFBScdG1,https://i.scdn.co/image/ab67616d0000b273fa72172ca5db384b60a417ec,2025,Romantic,Happy
Gopabalu Namasmarana - Radio Edit,Vakulabaranam Keshavanath,Telugu Keerthanalu (Vol-04) [Radio Edit],2025-04-30,https://open.spotify.com/track/0GZuS5sgC83cQnjpwl0Kyb,https://i.scdn.co/image/ab67616d0000b27393ef9e8c36d3c74d52b28639,2025,Romantic,Happy
"Kissik (From ""Pushpa 2 The Rule"")",Sublahshini,Telugu Chartbuster Hits,2025-06-27,https://open.spotify.com/track/4FjYHnTxGnKKKBLot8cM14,https://i.scdn.co/image/ab67616d0000b2738029f748b2f874b19ea47722,2025,Romantic,Happy
"Nanna Nuv Naa Pranam (From ""Animal"")",Sonu Nigam,Telugu Chartbuster Hits,2025-06-27,https://open.spotify.com/track/0uJwK4E2TmdqvrbGTsyNVv,https://i.scdn.co/image/ab67616d0000b2738029f748b2f874b19ea47722,2025,Romantic,Happy
"Sundhara Vadhana (From ""Radhe Shyam"")",Aishwarya Ravichandran,Telugu Chartbuster Hits,2025-06-27,https://open.spotify.com/track/6eDCablrohRoN9zDHR6U5f,https://i.scdn.co/image/ab67616d0000b2738029f748b2f874b19ea47722,2025,Romantic,Happy
